Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s000","Median Sales Price
$'000s000","Third Quartile Sales Price
'000s000","Mean Sales Price
$'000s000","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018,Q1,Total,Total,Total,Byron,Total,710000,910000,1340000,1077000,133,9.64%,0.28%,-28.11%,-18.90%
2018,Q1,Total,Total,Total,Byron,Non Strata,775000,935000,1500000,1132000,97,4.00%,-1.48%,-25.95%,-18.49%
2018,Q1,Total,Total,Total,Byron,Strata,647000,718000,1200000,926000,36,5.13%,-1.03%,-33.33%,-20.00%
2018,Q1,Total,Total,Total,Cabonne,Total,250000,300000,485000,362000,39,-11.63%,3.90%,-27.78%,-7.14%
2018,Q1,Total,Total,Total,Cabonne,Non Strata,250000,300000,485000,362000,39,-11.63%,3.90%,-27.78%,-7.14%
2018,Q1,Total,Total,Total,Camden,Total,690000,756000,857000,801000,322,1.34%,3.08%,-13.44%,-21.65%
2018,Q1,Total,Total,Total,Camden,Non Strata,700000,765000,868000,810000,309,1.59%,3.38%,-12.96%,-19.74%
2018,Q1,Total,Total,Total,Camden,Strata,495000,556000,685000,573000,20,-3.47%,7.96%,-23.53%,-50.00%
2018,Q1,Total,Total,Total,Campbelltown,Total,540000,612000,675000,616000,512,-2.86%,-0.41%,-9.70%,-14.67%
2018,Q1,Total,Total,Total,Campbelltown,Non Strata,592000,640000,698000,652000,410,-2.29%,0.23%,-7.03%,-13.50%
2018,Q1,Total,Total,Total,Campbelltown,Strata,438000,468000,510000,471000,102,-3.51%,1.85%,-19.05%,-19.05%
2018,Q1,Total,Total,Total,Canada Bay,Total,816000,1100000,1773000,1370000,240,-9.73%,-3.51%,-26.83%,-28.78%
2018,Q1,Total,Total,Total,Canada Bay,Non Strata,1788000,2155000,2673000,2218000,77,4.61%,0.23%,-35.29%,-25.24%
2018,Q1,Total,Total,Total,Canada Bay,Strata,780000,885000,1110000,969000,163,-6.84%,-5.22%,-22.01%,-30.34%
2018,Q1,Total,Total,Total,Canterbury-Bankstown,Total,600000,820000,1017000,841000,846,-4.65%,5.81%,-19.89%,-22.88%
2018,Q1,Total,Total,Total,Canterbury-Bankstown,Non Strata,880000,990000,1176000,1046000,464,-4.35%,-1.00%,-26.47%,-17.73%
2018,Q1,Total,Total,Total,Canterbury-Bankstown,Strata,492000,585000,685000,592000,382,1.74%,-0.85%,-10.12%,-28.33%
2018,Q1,Total,Total,Total,Carrathool,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Carrathool,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Central Coast,Total,525000,640000,774000,678000,1522,0.00%,4.92%,-8.53%,-19.13%
2018,Q1,Total,Total,Total,Central Coast,Non Strata,571000,670000,822000,720000,1182,0.75%,5.51%,-11.33%,-19.43%
2018,Q1,Total,Total,Total,Central Coast,Strata,424000,510000,630000,532000,340,0.99%,4.08%,2.72%,-18.07%
2018,Q1,Total,Total,Total,Central Darling,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Central Darling,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Cessnock,Total,310000,370000,430000,395000,265,0.00%,10.45%,-20.42%,-5.36%
2018,Q1,Total,Total,Total,Cessnock,Non Strata,330000,380000,440000,407000,238,-1.30%,9.04%,-19.05%,-4.80%
2018,Q1,Total,Total,Total,Cessnock,Strata,270000,280000,297000,286000,20,-0.71%,-2.44%,-30.77%,-10.00%
2018,Q1,Total,Total,Total,Clarence Valley,Total,305000,389000,491000,395000,264,5.03%,5.18%,-9.90%,0.76%
2018,Q1,Total,Total,Total,Clarence Valley,Non Strata,310000,395000,496000,403000,234,5.33%,5.33%,-8.95%,2.18%
2018,Q1,Total,Total,Total,Clarence Valley,Strata,263000,327000,392000,334000,20,-7.24%,0.46%,-16.67%,-9.09%
2018,Q1,Total,Total,Total,Cobar,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Cobar,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Coffs Harbour,Total,400000,490000,599000,503000,327,2.40%,8.89%,-17.01%,-13.49%
2018,Q1,Total,Total,Total,Coffs Harbour,Non Strata,450000,525000,630000,551000,233,-0.94%,7.58%,-16.79%,-12.08%
2018,Q1,Total,Total,Total,Coffs Harbour,Strata,278000,350000,440000,383000,94,0.86%,0.00%,-17.54%,-16.81%
2018,Q1,Total,Total,Total,Coolamon,Total,129000,188000,264000,198000,20,4.17%,-24.70%,-55.56%,-33.33%
2018,Q1,Total,Total,Total,Coolamon,Non Strata,129000,188000,264000,198000,20,4.17%,-24.70%,-55.56%,-33.33%
2018,Q1,Total,Total,Total,Coonamble,Total,70000,123000,176000,120000,20,44.71%,-7.17%,-35.29%,37.50%
2018,Q1,Total,Total,Total,Coonamble,Non Strata,70000,123000,176000,120000,20,44.71%,-7.17%,-35.29%,37.50%
2018,Q1,Total,Total,Total,Cootamundra-Gundagai Regional,Total,150000,200000,248000,213000,54,-11.11%,-4.76%,8.00%,10.20%
2018,Q1,Total,Total,Total,Cootamundra-Gundagai Regional,Non Strata,150000,200000,248000,213000,54,-11.11%,-4.76%,8.00%,10.20%
2018,Q1,Total,Total,Total,Cowra,Total,160000,238000,283000,237000,45,-8.46%,3.48%,-25.00%,-18.18%
2018,Q1,Total,Total,Total,Cowra,Non Strata,163000,251000,284000,241000,43,-3.46%,9.52%,-28.33%,-20.37%
2018,Q1,Total,Total,Total,Cowra,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Cumberland,Total,570000,685000,860000,730000,515,-5.52%,-0.72%,-24.38%,-31.52%
2018,Q1,Total,Total,Total,Cumberland,Non Strata,805000,880000,1000000,920000,229,-3.30%,-1.12%,-32.45%,-33.24%
2018,Q1,Total,Total,Total,Cumberland,Strata,500000,580000,644000,577000,286,-2.14%,0.00%,-16.37%,-30.07%
2018,Q1,Total,Total,Total,Dubbo Regional,Total,278000,350000,433000,356000,209,2.94%,6.06%,-17.72%,0.97%
2018,Q1,Total,Total,Total,Dubbo Regional,Non Strata,278000,350000,435000,358000,203,1.45%,5.42%,-17.14%,3.05%
2018,Q1,Total,Total,Total,Dubbo Regional,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Dungog,Total,330000,430000,607000,488000,36,-21.82%,-8.99%,-29.41%,-18.18%
2018,Q1,Total,Total,Total,Dungog,Non Strata,330000,430000,607000,488000,36,-21.82%,-8.99%,-29.41%,-18.18%
2018,Q1,Total,Total,Total,Edward River,Total,160000,200000,290000,240000,47,-8.68%,-8.05%,38.24%,6.82%
2018,Q1,Total,Total,Total,Edward River,Non Strata,159000,193000,256000,222000,44,-12.10%,-14.44%,29.41%,2.33%
2018,Q1,Total,Total,Total,Edward River,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Eurobodalla,Total,385000,456000,560000,485000,278,2.59%,8.45%,-12.30%,-10.90%
2018,Q1,Total,Total,Total,Eurobodalla,Non Strata,418000,492000,589000,520000,220,3.47%,10.45%,-10.57%,-12.35%
2018,Q1,Total,Total,Total,Eurobodalla,Strata,299000,344000,400000,353000,58,-1.72%,32.63%,-18.31%,-4.92%
2018,Q1,Total,Total,Total,Fairfield,Total,659000,772000,861000,761000,308,0.00%,1.58%,-27.19%,-18.95%
2018,Q1,Total,Total,Total,Fairfield,Non Strata,721000,800000,900000,819000,249,-0.62%,-0.44%,-26.33%,-10.43%
2018,Q1,Total,Total,Total,Fairfield,Strata,420000,485000,610000,513000,59,7.54%,9.77%,-30.59%,-42.16%
2018,Q1,Total,Total,Total,Federation,Total,198000,235000,298000,253000,71,-11.32%,2.17%,-7.79%,7.58%
2018,Q1,Total,Total,Total,Federation,Non Strata,207000,238000,303000,256000,56,-11.21%,3.26%,-13.85%,7.69%
2018,Q1,Total,Total,Total,Federation,Strata,173000,225000,256000,239000,20,8.43%,0.67%,25.00%,7.14%
2018,Q1,Total,Total,Total,Forbes,Total,213000,260000,376000,296000,40,-5.97%,11.83%,5.26%,25.00%
2018,Q1,Total,Total,Total,Forbes,Non Strata,213000,260000,376000,296000,40,-5.97%,11.83%,5.26%,25.00%
2018,Q1,Total,Total,Total,Georges River,Total,685000,909000,1304000,1026000,322,-3.76%,-3.30%,-30.60%,-26.98%
2018,Q1,Total,Total,Total,Georges River,Non Strata,1165000,1356000,1603000,1405000,145,-4.30%,-5.83%,-34.09%,-29.61%
2018,Q1,Total,Total,Total,Georges River,Strata,625000,700000,800000,715000,177,0.00%,-1.41%,-27.46%,-24.68%
2018,Q1,Total,Total,Total,Gilgandra,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Gilgandra,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Glen Innes,Total,163000,210000,235000,211000,35,6.06%,-2.78%,12.90%,16.67%
2018,Q1,Total,Total,Total,Glen Innes,Non Strata,163000,210000,235000,211000,35,6.06%,-2.78%,12.90%,16.67%
2018,Q1,Total,Total,Total,Goulburn Mulwaree,Total,384000,452000,576000,488000,135,11.60%,11.74%,-19.16%,-8.78%
2018,Q1,Total,Total,Total,Goulburn Mulwaree,Non Strata,385000,455000,584000,493000,130,8.33%,10.10%,-9.72%,-4.41%
2018,Q1,Total,Total,Total,Goulburn Mulwaree,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Greater Hume,Total,156000,180000,240000,198000,38,-34.55%,2.27%,8.57%,-26.92%
2018,Q1,Total,Total,Total,Greater Hume,Non Strata,156000,180000,240000,198000,38,-34.55%,2.27%,8.57%,-26.92%
2018,Q1,Total,Total,Total,Griffith,Total,237000,320000,370000,333000,76,-3.40%,1.59%,-37.70%,1.33%
2018,Q1,Total,Total,Total,Griffith,Non Strata,244000,320000,373000,339000,71,-4.48%,0.00%,-38.79%,-2.74%
2018,Q1,Total,Total,Total,Griffith,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Gunnedah,Total,279000,340000,435000,358000,61,8.80%,-2.86%,-4.69%,35.56%
2018,Q1,Total,Total,Total,Gunnedah,Non Strata,282000,350000,439000,362000,58,11.11%,-0.71%,-4.92%,31.82%
2018,Q1,Total,Total,Total,Gunnedah,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Gwydir,Total,143000,158000,246000,187000,20,-19.10%,-1.41%,-22.22%,-33.33%
2018,Q1,Total,Total,Total,Gwydir,Non Strata,143000,158000,246000,187000,20,-19.10%,-1.41%,-22.22%,-33.33%
2018,Q1,Total,Total,Total,Hawkesbury,Total,611000,718000,1063000,867000,200,-10.03%,7.09%,-3.85%,-21.26%
2018,Q1,Total,Total,Total,Hawkesbury,Non Strata,650000,778000,1204000,933000,168,-7.38%,11.94%,-7.18%,-22.22%
2018,Q1,Total,Total,Total,Hawkesbury,Strata,454000,524000,583000,525000,32,0.72%,15.43%,18.52%,-15.79%
2018,Q1,Total,Total,Total,Hay,Total,150000,170000,230000,191000,20,0.00%,30.77%,142.86%,88.89%
2018,Q1,Total,Total,Total,Hay,Non Strata,150000,170000,230000,191000,20,0.00%,30.77%,142.86%,88.89%
2018,Q1,Total,Total,Total,Hilltops,Total,210000,255000,310000,259000,57,-5.56%,-4.85%,-31.33%,-29.63%
2018,Q1,Total,Total,Total,Hilltops,Non Strata,212000,259000,311000,262000,56,-4.17%,-4.17%,-30.86%,-29.11%
2018,Q1,Total,Total,Total,Hilltops,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Hornsby,Total,727000,1106000,1400000,1108000,374,-8.60%,1.00%,-23.20%,-21.76%
2018,Q1,Total,Total,Total,Hornsby,Non Strata,1171000,1350000,1514000,1377000,222,-2.17%,-3.54%,-32.93%,-21.28%
2018,Q1,Total,Total,Total,Hornsby,Strata,628000,693000,790000,716000,152,1.91%,-1.00%,-2.56%,-22.45%
2018,Q1,Total,Total,Total,Hunters Hill,Total,1157000,1900000,2960000,2165000,31,6.74%,-19.66%,-35.42%,-36.73%
2018,Q1,Total,Total,Total,Hunters Hill,Non Strata,2200000,2900000,3450000,2969000,20,5.44%,-12.12%,-22.73%,-41.38%
2018,Q1,Total,Total,Total,Hunters Hill,Strata,874000,1154000,1509000,1188000,20,33.43%,15.93%,-46.15%,-30.00%
2018,Q1,Total,Total,Total,Inner West,Total,785000,1215000,1617000,1275000,501,-5.81%,4.20%,-32.93%,-21.72%
2018,Q1,Total,Total,Total,Inner West,Non Strata,1325000,1560000,1950000,1658000,265,1.76%,-5.74%,-38.94%,-12.54%
2018,Q1,Total,Total,Total,Inner West,Strata,650000,770000,953000,845000,236,-2.45%,1.05%,-24.60%,-29.97%
2018,Q1,Total,Total,Total,Inverell,Total,230000,285000,411000,334000,58,7.55%,22.32%,-22.67%,0.00%
2018,Q1,Total,Total,Total,Inverell,Non Strata,230000,285000,411000,334000,58,7.55%,22.32%,-22.67%,0.00%
2018,Q1,Total,Total,Total,Junee,Total,207000,293000,368000,334000,20,28.57%,20.37%,0.00%,-14.29%
2018,Q1,Total,Total,Total,Junee,Non Strata,207000,293000,368000,334000,20,28.57%,20.37%,0.00%,-14.29%
2018,Q1,Total,Total,Total,Kempsey,Total,265000,330000,414000,350000,130,0.15%,-5.18%,-20.73%,-28.96%
2018,Q1,Total,Total,Total,Kempsey,Non Strata,269000,335000,419000,357000,122,-2.19%,-6.94%,-15.28%,-24.22%
2018,Q1,Total,Total,Total,Kempsey,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Kiama,Total,760000,890000,1164000,947000,86,-4.04%,7.94%,-18.87%,-18.87%
2018,Q1,Total,Total,Total,Kiama,Non Strata,820000,959000,1200000,1026000,70,-1.94%,12.82%,-16.67%,-23.91%
2018,Q1,Total,Total,Total,Kiama,Strata,570000,623000,653000,602000,20,2.05%,-3.86%,-27.27%,14.29%
2018,Q1,Total,Total,Total,Ku-Ring-Gai,Total,1203000,1750000,2284000,1845000,374,0.92%,-5.56%,-22.08%,-26.09%
2018,Q1,Total,Total,Total,Ku-Ring-Gai,Non Strata,1755000,2065000,2700000,2266000,243,-1.90%,-11.28%,-19.80%,-24.06%
2018,Q1,Total,Total,Total,Ku-Ring-Gai,Strata,853000,975000,1250000,1064000,131,5.98%,4.68%,-25.99%,-29.57%
2018,Q1,Total,Total,Total,Kyogle,Total,244000,288000,354000,292000,32,-5.35%,-10.44%,-30.43%,-5.88%
2018,Q1,Total,Total,Total,Kyogle,Non Strata,240000,290000,358000,293000,31,-4.53%,-9.66%,-32.61%,-8.82%
2018,Q1,Total,Total,Total,Kyogle,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Lachlan,Total,75000,128000,221000,160000,20,-27.56%,-27.14%,15.79%,83.33%
2018,Q1,Total,Total,Total,Lachlan,Non Strata,75000,128000,221000,160000,20,-27.56%,-27.14%,15.79%,83.33%
2018,Q1,Total,Total,Total,Lake Macquarie,Total,465000,560000,688000,591000,831,-1.75%,5.66%,-13.17%,-17.40%
2018,Q1,Total,Total,Total,Lake Macquarie,Non Strata,484000,580000,711000,611000,716,-2.52%,5.45%,-14.35%,-15.07%
2018,Q1,Total,Total,Total,Lake Macquarie,Strata,390000,444000,525000,470000,115,0.68%,3.79%,-4.96%,-29.45%
2018,Q1,Total,Total,Total,Lane Cove,Total,764000,1090000,2235000,1719000,156,2.83%,19.13%,-30.97%,1.96%
2018,Q1,Total,Total,Total,Lane Cove,Non Strata,2034000,2704000,3790000,3086000,60,0.90%,-1.67%,-31.03%,27.66%
2018,Q1,Total,Total,Total,Lane Cove,Strata,716000,818000,919000,864000,96,2.19%,0.31%,-30.94%,-9.43%
2018,Q1,Total,Total,Total,Leeton,Total,165000,210000,288000,239000,54,-4.55%,-21.50%,-1.82%,50.00%
2018,Q1,Total,Total,Total,Leeton,Non Strata,165000,230000,306000,246000,47,-2.13%,-20.14%,-11.32%,42.42%
2018,Q1,Total,Total,Total,Leeton,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Lismore,Total,319000,402000,491000,425000,200,6.08%,11.84%,-15.97%,4.17%
2018,Q1,Total,Total,Total,Lismore,Non Strata,353000,430000,511000,447000,174,5.98%,13.91%,-16.35%,2.96%
2018,Q1,Total,Total,Total,Lismore,Strata,237000,290000,314000,278000,20,4.50%,26.09%,-13.33%,13.04%
2018,Q1,Total,Total,Total,Lithgow,Total,285000,335000,425000,365000,91,1.06%,19.64%,-7.14%,-6.19%
2018,Q1,Total,Total,Total,Lithgow,Non Strata,285000,335000,425000,365000,91,0.60%,19.64%,-6.19%,-3.19%
2018,Q1,Total,Total,Total,Liverpool,Total,595000,725000,850000,723000,469,-0.68%,-2.68%,-18.15%,-29.15%
2018,Q1,Total,Total,Total,Liverpool,Non Strata,715000,790000,900000,821000,327,-3.66%,-3.07%,-16.79%,-31.16%
2018,Q1,Total,Total,Total,Liverpool,Strata,420000,500000,560000,497000,142,-4.72%,-5.66%,-21.11%,-24.06%
2018,Q1,Total,Total,Total,Liverpool Plains,Total,157000,218000,250000,216000,20,-2.25%,-20.91%,0.00%,57.89%
2018,Q1,Total,Total,Total,Liverpool Plains,Non Strata,157000,218000,250000,216000,20,-2.25%,-20.91%,0.00%,57.89%
2018,Q1,Total,Total,Total,Lockhart,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Lockhart,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Maitland,Total,394000,450000,545000,472000,364,0.39%,5.26%,-20.18%,-15.94%
2018,Q1,Total,Total,Total,Maitland,Non Strata,407000,460000,550000,484000,333,0.00%,4.55%,-18.58%,-11.90%
2018,Q1,Total,Total,Total,Maitland,Strata,303000,350000,381000,344000,31,0.00%,16.67%,-34.04%,-43.64%
2018,Q1,Total,Total,Total,Mid-Coast,Total,335000,414000,550000,445000,535,-2.59%,0.98%,-16.01%,-16.54%
2018,Q1,Total,Total,Total,Mid-Coast,Non Strata,349000,450000,580000,472000,417,0.45%,3.45%,-17.26%,-13.66%
2018,Q1,Total,Total,Total,Mid-Coast,Strata,289000,343000,390000,350000,118,-0.72%,1.03%,-11.28%,-25.32%
2018,Q1,Total,Total,Total,Mid-Western Regional,Total,286000,378000,467000,389000,115,1.34%,4.42%,-25.32%,-8.00%
2018,Q1,Total,Total,Total,Mid-Western Regional,Non Strata,293000,379000,468000,390000,114,-2.07%,4.49%,-22.97%,-8.06%
2018,Q1,Total,Total,Total,Mid-Western Regional,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Moree Plains,Total,135000,230000,340000,248000,37,1.77%,31.43%,-11.90%,-7.50%
2018,Q1,Total,Total,Total,Moree Plains,Non Strata,133000,245000,340000,250000,36,8.41%,40.00%,-14.29%,-10.00%
2018,Q1,Total,Total,Total,Moree Plains,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Mosman,Total,960000,1650000,3165000,2261000,109,1.85%,-25.84%,-33.13%,-16.79%
2018,Q1,Total,Total,Total,Mosman,Non Strata,2825000,3415000,4260000,3927000,38,-14.62%,-14.62%,-30.91%,-35.59%
2018,Q1,Total,Total,Total,Mosman,Strata,869000,1040000,1475000,1369000,71,-6.60%,-9.76%,-34.26%,-1.39%
2018,Q1,Total,Total,Total,Murray River,Total,237000,317000,415000,329000,51,-5.09%,-9.43%,-17.74%,-19.05%
2018,Q1,Total,Total,Total,Murray River,Non Strata,238000,333000,426000,335000,48,-6.47%,-8.28%,-14.29%,2.13%
2018,Q1,Total,Total,Total,Murray River,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Murrumbidgee,Total,127000,160000,193000,171000,20,-13.51%,-9.60%,-35.29%,0.00%
2018,Q1,Total,Total,Total,Murrumbidgee,Non Strata,127000,160000,193000,171000,20,-13.51%,-9.60%,-35.29%,0.00%
2018,Q1,Total,Total,Total,Muswellbrook,Total,249000,322000,361000,314000,56,3.87%,25.66%,-30.86%,16.67%
2018,Q1,Total,Total,Total,Muswellbrook,Non Strata,249000,322000,361000,314000,56,3.87%,25.66%,-25.33%,16.67%
2018,Q1,Total,Total,Total,Nambucca,Total,338000,400000,490000,423000,77,7.02%,9.59%,-10.47%,-28.70%
2018,Q1,Total,Total,Total,Nambucca,Non Strata,334000,400000,491000,424000,75,1.27%,3.90%,0.00%,-13.79%
2018,Q1,Total,Total,Total,Nambucca,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Narrabri,Total,220000,280000,443000,320000,42,-1.75%,3.70%,13.51%,27.27%
2018,Q1,Total,Total,Total,Narrabri,Non Strata,220000,280000,443000,320000,42,-1.75%,3.70%,13.51%,27.27%
2018,Q1,Total,Total,Total,Narrandera,Total,126000,166000,187000,176000,20,8.85%,-0.90%,-8.00%,27.78%
2018,Q1,Total,Total,Total,Narrandera,Non Strata,126000,166000,187000,176000,20,8.85%,-0.90%,-8.00%,27.78%
2018,Q1,Total,Total,Total,Narromine,Total,171000,208000,359000,254000,20,2.47%,-11.32%,-56.25%,-36.36%
2018,Q1,Total,Total,Total,Narromine,Non Strata,171000,208000,359000,254000,20,2.47%,-11.32%,-56.25%,-36.36%
2018,Q1,Total,Total,Total,Newcastle,Total,505000,615000,750000,654000,687,3.36%,11.82%,-16.83%,-20.94%
2018,Q1,Total,Total,Total,Newcastle,Non Strata,530000,640000,770000,685000,487,2.89%,12.28%,-17.88%,-20.42%
2018,Q1,Total,Total,Total,Newcastle,Strata,421000,533000,680000,578000,200,8.57%,12.23%,-14.16%,-22.18%
2018,Q1,Total,Total,Total,North Sydney,Total,912000,1200000,1753000,1428000,301,0.00%,-5.44%,-19.30%,-14.97%
