Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2019,Q4,Total,Total,Total,Bega Valley,Strata,268,315,434,350,59,-3.08%,-3.08%,25.53%,5.36%
2019,Q4,Total,Total,Total,Bellingen,Total,461,636,750,626,42,9.23%,22.95%,20.00%,-12.50%
2019,Q4,Total,Total,Total,Bellingen,Non Strata,461,636,750,626,42,9.23%,16.21%,20.00%,-6.67%
2019,Q4,Total,Total,Total,Berrigan,Total,166,253,341,261,48,7.55%,13.34%,65.52%,23.08%
2019,Q4,Total,Total,Total,Berrigan,Non Strata,175,255,345,271,45,8.51%,14.35%,55.17%,15.38%
2019,Q4,Total,Total,Total,Berrigan,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Blacktown,Total,580,696,855,721,1104,3.73%,2.35%,-3.24%,35.96%
2019,Q4,Total,Total,Total,Blacktown,Non Strata,645,755,892,771,883,4.86%,5.59%,-3.18%,31.20%
2019,Q4,Total,Total,Total,Blacktown,Strata,450,520,599,524,221,-5.45%,-4.59%,-3.49%,58.99%
2019,Q4,Total,Total,Total,Bland,Total,178,245,314,245,s,16.67%,63.33%,63.64%,-18.18%
2019,Q4,Total,Total,Total,Bland,Non Strata,178,245,314,245,s,16.67%,63.33%,63.64%,-18.18%
2019,Q4,Total,Total,Total,Blayney,Total,291,355,426,362,s,-2.88%,-0.84%,23.81%,4.00%
2019,Q4,Total,Total,Total,Blayney,Non Strata,310,365,431,368,s,-0.14%,1.96%,14.29%,-4.00%
2019,Q4,Total,Total,Total,Blayney,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Blue Mountains,Total,555,650,770,681,313,2.36%,2.69%,-10.32%,22.27%
2019,Q4,Total,Total,Total,Blue Mountains,Non Strata,567,660,785,690,296,1.54%,3.13%,-4.21%,23.85%
2019,Q4,Total,Total,Total,Blue Mountains,Strata,470,525,600,529,s,-12.50%,-12.20%,-57.50%,0.00%
2019,Q4,Total,Total,Total,Bogan,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Bogan,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Brewarrina,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Broken Hill,Total,65,113,176,125,60,-21.05%,-11.42%,-11.76%,-26.83%
2019,Q4,Total,Total,Total,Broken Hill,Non Strata,65,113,176,125,60,-21.05%,-11.42%,-11.76%,-26.83%
2019,Q4,Total,Total,Total,Burwood,Total,733,885,"1,193","1,026",123,3.87%,-16.98%,12.84%,6.03%
2019,Q4,Total,Total,Total,Burwood,Non Strata,"1,305","1,610","1,850","1,608",33,-12.14%,4.55%,3.13%,-29.79%
2019,Q4,Total,Total,Total,Burwood,Strata,690,800,909,813,90,8.84%,-6.98%,16.88%,30.43%
2019,Q4,Total,Total,Total,Byron,Total,700,850,"1,173",990,159,-2.86%,-3.90%,0.00%,20.45%
2019,Q4,Total,Total,Total,Byron,Non Strata,743,950,"1,390","1,100",107,-3.55%,3.83%,-10.08%,11.46%
2019,Q4,Total,Total,Total,Byron,Strata,612,730,829,764,52,7.51%,-3.31%,30.00%,44.44%
2019,Q4,Total,Total,Total,Cabonne,Total,265,395,540,430,37,12.86%,16.18%,5.71%,-2.63%
2019,Q4,Total,Total,Total,Cabonne,Non Strata,265,395,540,430,37,12.86%,16.18%,5.71%,-2.63%
2019,Q4,Total,Total,Total,Camden,Total,644,710,805,740,346,1.43%,0.00%,-13.93%,11.97%
2019,Q4,Total,Total,Total,Camden,Non Strata,650,727,815,755,318,1.71%,1.01%,-13.82%,9.28%
2019,Q4,Total,Total,Total,Camden,Strata,493,572,631,563,s,0.44%,7.83%,-15.15%,55.56%
2019,Q4,Total,Total,Total,Campbelltown,Total,495,580,650,578,446,0.26%,0.87%,-2.19%,14.65%
2019,Q4,Total,Total,Total,Campbelltown,Non Strata,543,606,672,617,350,0.21%,0.87%,-4.89%,10.76%
2019,Q4,Total,Total,Total,Campbelltown,Strata,397,433,481,439,96,2.98%,2.98%,9.09%,31.51%
2019,Q4,Total,Total,Total,Canada Bay,Total,805,"1,156","1,804","1,377",346,3.21%,11.45%,0.29%,24.46%
2019,Q4,Total,Total,Total,Canada Bay,Non Strata,"1,700","2,080","2,458","2,158",119,18.35%,17.18%,10.19%,38.37%
2019,Q4,Total,Total,Total,Canada Bay,Strata,740,875,"1,140",968,227,-2.78%,-1.69%,-4.22%,18.23%
2019,Q4,Total,Total,Total,Canterbury-Bankstown,Total,605,820,"1,000",833,1073,6.49%,9.33%,9.83%,37.92%
2019,Q4,Total,Total,Total,Canterbury-Bankstown,Non Strata,850,950,"1,141","1,013",644,3.09%,7.34%,17.52%,38.49%
2019,Q4,Total,Total,Total,Canterbury-Bankstown,Strata,460,550,650,562,429,1.48%,4.80%,0.00%,37.10%
2019,Q4,Total,Total,Total,Carrathool,Total,103,120,267,192,s,-15.79%,-33.33%,150.00%,66.67%
2019,Q4,Total,Total,Total,Carrathool,Non Strata,103,120,267,192,s,-15.79%,-33.33%,150.00%,66.67%
2019,Q4,Total,Total,Total,Central Coast,Total,505,620,765,665,1452,3.33%,1.64%,3.42%,13.35%
2019,Q4,Total,Total,Total,Central Coast,Non Strata,540,650,800,701,1153,3.17%,0.78%,5.68%,14.84%
2019,Q4,Total,Total,Total,Central Coast,Strata,405,485,623,524,299,3.19%,-3.00%,-4.50%,7.90%
2019,Q4,Total,Total,Total,Central Darling,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Central Darling,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Cessnock,Total,315,380,460,406,253,2.70%,0.00%,-9.96%,-0.78%
2019,Q4,Total,Total,Total,Cessnock,Non Strata,315,395,474,414,234,3.40%,-2.95%,-8.95%,4.00%
2019,Q4,Total,Total,Total,Cessnock,Strata,275,320,330,306,s,8.47%,7.02%,-20.83%,-36.67%
2019,Q4,Total,Total,Total,Clarence Valley,Total,323,410,520,435,215,4.59%,11.11%,-8.12%,-16.02%
2019,Q4,Total,Total,Total,Clarence Valley,Non Strata,328,418,520,442,190,5.83%,11.33%,-12.04%,-15.18%
2019,Q4,Total,Total,Total,Clarence Valley,Strata,295,340,460,382,s,10.21%,0.20%,38.90%,-21.90%
2019,Q4,Total,Total,Total,Cobar,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Cobar,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Coffs Harbour,Total,404,485,627,522,315,-2.51%,-3.00%,5.00%,-1.25%
2019,Q4,Total,Total,Total,Coffs Harbour,Non Strata,445,550,665,575,215,2.80%,-0.90%,1.42%,-6.11%
2019,Q4,Total,Total,Total,Coffs Harbour,Strata,318,372,456,408,100,-5.35%,1.36%,13.64%,11.11%
2019,Q4,Total,Total,Total,Coolamon,Total,115,213,288,218,s,-9.19%,-14.31%,60.00%,-30.43%
2019,Q4,Total,Total,Total,Coolamon,Non Strata,115,213,288,218,s,-9.19%,-14.30%,60.00%,-30.40%
2019,Q4,Total,Total,Total,Coonamble,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Coonamble,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Gundagai,Total,193,260,307,266,47,26.06%,15.56%,11.90%,0.00%
2019,Q4,Total,Total,Total,Gundagai,Non Strata,189,261,320,267,46,26.55%,16.00%,9.52%,-2.13%
2019,Q4,Total,Total,Total,Gundagai,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Cowra,Total,200,260,360,292,53,0.00%,-7.14%,29.27%,-5.36%
2019,Q4,Total,Total,Total,Cowra,Non Strata,200,260,360,292,53,0.00%,-5.45%,29.27%,3.92%
2019,Q4,Total,Total,Total,Cumberland,Total,552,691,845,720,605,5.50%,0.14%,1.34%,34.15%
2019,Q4,Total,Total,Total,Cumberland,Non Strata,750,833,965,881,317,4.06%,4.00%,7.82%,34.89%
2019,Q4,Total,Total,Total,Cumberland,Strata,469,550,610,544,288,-0.90%,-1.35%,-4.95%,33.33%
2019,Q4,Total,Total,Total,Western Plains Regional,Total,270,325,420,349,185,-1.37%,-5.80%,-8.42%,-14.35%
2019,Q4,Total,Total,Total,Western Plains Regional,Non Strata,275,330,426,353,172,0.00%,-5.04%,-13.13%,-18.48%
2019,Q4,Total,Total,Total,Western Plains Regional,Strata,253,287,310,293,s,11.03%,24.78%,225.00%,160.00%
2019,Q4,Total,Total,Total,Dungog,Total,314,403,679,507,32,-8.52%,-12.02%,-3.03%,-5.88%
2019,Q4,Total,Total,Total,Dungog,Non Strata,314,403,679,507,32,-8.52%,-12.02%,-3.03%,-5.88%
2019,Q4,Total,Total,Total,Edward River,Total,210,241,326,264,s,13.29%,28.40%,-12.50%,-33.33%
2019,Q4,Total,Total,Total,Edward River,Non Strata,214,250,329,275,s,17.53%,31.45%,-18.75%,-36.59%
2019,Q4,Total,Total,Total,Edward River,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Eurobodalla,Total,411,515,639,535,257,8.42%,7.74%,7.98%,10.30%
2019,Q4,Total,Total,Total,Eurobodalla,Non Strata,455,550,671,572,209,12.24%,6.80%,3.47%,17.42%
2019,Q4,Total,Total,Total,Eurobodalla,Strata,290,375,455,373,48,5.63%,7.30%,33.33%,-12.73%
2019,Q4,Total,Total,Total,Fairfield,Total,594,725,842,723,394,2.11%,3.57%,1.03%,39.22%
2019,Q4,Total,Total,Total,Fairfield,Non Strata,700,770,900,805,302,2.67%,5.48%,3.78%,31.88%
2019,Q4,Total,Total,Total,Fairfield,Strata,387,434,523,453,92,-5.65%,-5.24%,-7.07%,70.37%
2019,Q4,Total,Total,Total,Federation,Total,214,265,330,277,68,2.91%,2.42%,30.77%,0.00%
2019,Q4,Total,Total,Total,Federation,Non Strata,228,275,342,291,58,5.77%,2.61%,26.09%,1.75%
2019,Q4,Total,Total,Total,Federation,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Forbes,Total,220,286,370,303,37,14.40%,5.93%,0.00%,-27.45%
2019,Q4,Total,Total,Total,Forbes,Non Strata,220,286,370,303,37,14.40%,5.93%,2.78%,-27.45%
2019,Q4,Total,Total,Total,Georges River,Total,680,910,"1,280","1,017",541,1.39%,-2.15%,5.66%,47.41%
2019,Q4,Total,Total,Total,Georges River,Non Strata,"1,100","1,281","1,559","1,353",270,2.44%,6.71%,20.00%,36.36%
2019,Q4,Total,Total,Total,Georges River,Strata,593,680,750,682,271,0.00%,-2.86%,-5.57%,60.36%
2019,Q4,Total,Total,Total,Gilgandra,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Gilgandra,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Glen Innes Severn,Total,145,165,225,179,s,-4.35%,-21.43%,3.57%,-3.33%
2019,Q4,Total,Total,Total,Glen Innes Severn,Non Strata,145,165,225,179,s,-4.35%,-21.43%,3.57%,-3.33%
2019,Q4,Total,Total,Total,Goulburn Mulwaree,Total,359,433,536,459,108,-2.26%,4.85%,-6.90%,-8.47%
2019,Q4,Total,Total,Total,Goulburn Mulwaree,Non Strata,360,437,540,465,101,-2.89%,5.94%,0.00%,-12.93%
2019,Q4,Total,Total,Total,Goulburn Mulwaree,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Greater Hume Shire,Total,165,235,330,255,37,5.62%,-2.08%,-2.63%,-19.57%
2019,Q4,Total,Total,Total,Greater Hume Shire,Non Strata,165,235,330,255,37,5.62%,-2.08%,-2.63%,-19.57%
2019,Q4,Total,Total,Total,Griffith,Total,329,383,500,419,93,12.50%,9.29%,13.41%,-16.22%
2019,Q4,Total,Total,Total,Griffith,Non Strata,330,400,500,427,88,16.96%,14.29%,11.39%,-16.98%
2019,Q4,Total,Total,Total,Griffith,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Gunnedah,Total,253,295,378,325,38,-7.81%,-6.35%,-29.63%,-19.15%
2019,Q4,Total,Total,Total,Gunnedah,Non Strata,255,325,389,331,35,1.56%,3.17%,-35.19%,-25.53%
2019,Q4,Total,Total,Total,Gunnedah,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Gwydir,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Gwydir,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Hawkesbury,Total,590,665,845,763,231,0.00%,-8.28%,-3.35%,45.28%
2019,Q4,Total,Total,Total,Hawkesbury,Non Strata,625,690,900,798,205,-4.17%,-13.21%,0.49%,48.55%
2019,Q4,Total,Total,Total,Hawkesbury,Strata,424,499,551,488,s,13.41%,0.81%,-25.71%,23.81%
2019,Q4,Total,Total,Total,Hay,Total,59,142,168,113,s,-29.25%,17.92%,55.56%,0.00%
2019,Q4,Total,Total,Total,Hay,Non Strata,59,142,168,113,s,-29.25%,17.92%,55.56%,0.00%
2019,Q4,Total,Total,Total,Hilltops,Total,214,260,336,288,71,0.97%,-4.15%,69.05%,-13.41%
2019,Q4,Total,Total,Total,Hilltops,Non Strata,214,260,336,288,71,-0.76%,-4.15%,77.50%,-13.41%
2019,Q4,Total,Total,Total,Hornsby,Total,733,"1,110","1,431","1,122",511,6.73%,6.99%,-8.91%,32.73%
2019,Q4,Total,Total,Total,Hornsby,Non Strata,"1,150","1,330","1,589","1,373",318,8.26%,12.71%,11.19%,18.22%
2019,Q4,Total,Total,Total,Hornsby,Strata,600,661,784,709,193,-4.28%,0.08%,-29.82%,66.38%
2019,Q4,Total,Total,Total,Hunters Hill,Total,"1,210","1,710","2,810","2,207",61,-10.00%,-2.84%,38.64%,32.61%
2019,Q4,Total,Total,Total,Hunters Hill,Non Strata,"2,108","2,780","4,063","3,231",32,1.09%,4.12%,18.52%,39.13%
2019,Q4,Total,Total,Total,Hunters Hill,Strata,740,"1,170","1,319","1,076",s,-9.30%,-2.50%,70.59%,26.09%
2019,Q4,Total,Total,Total,Inner West,Total,856,"1,268","1,688","1,329",782,6.99%,13.70%,15.00%,29.68%
2019,Q4,Total,Total,Total,Inner West,Non Strata,"1,350","1,614","1,925","1,686",442,7.57%,16.92%,28.86%,30.00%
2019,Q4,Total,Total,Total,Inner West,Strata,692,792,999,865,340,5.53%,6.96%,0.89%,29.28%
2019,Q4,Total,Total,Total,Inverell,Total,211,283,345,276,38,-7.38%,8.13%,31.03%,-32.14%
2019,Q4,Total,Total,Total,Inverell,Non Strata,211,283,345,276,38,-7.38%,8.13%,31.03%,-32.14%
2019,Q4,Total,Total,Total,Junee,Total,206,246,325,266,s,-6.20%,1.97%,0.00%,28.57%
2019,Q4,Total,Total,Total,Junee,Non Strata,206,246,325,266,s,-6.20%,1.97%,0.00%,28.57%
2019,Q4,Total,Total,Total,Kempsey,Total,290,361,484,400,100,6.18%,5.25%,-28.06%,-21.26%
2019,Q4,Total,Total,Total,Kempsey,Non Strata,290,368,506,408,90,-4.79%,5.00%,-17.43%,-22.41%
2019,Q4,Total,Total,Total,Kempsey,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Kiama,Total,694,849,"1,032",892,116,5.07%,1.98%,10.48%,27.47%
2019,Q4,Total,Total,Total,Kiama,Non Strata,820,920,"1,130","1,064",81,8.24%,8.24%,-7.95%,10.96%
2019,Q4,Total,Total,Total,Kiama,Strata,347,505,612,496,35,-28.37%,-30.82%,105.88%,94.44%
2019,Q4,Total,Total,Total,Ku-Ring-Gai,Total,"1,074","1,785","2,350","1,832",535,8.18%,6.73%,12.63%,26.78%
2019,Q4,Total,Total,Total,Ku-Ring-Gai,Non Strata,"1,856","2,208","2,689","2,364",308,8.54%,5.63%,6.94%,12.82%
2019,Q4,Total,Total,Total,Ku-Ring-Gai,Strata,837,980,"1,355","1,110",227,8.89%,7.69%,21.39%,52.35%
2019,Q4,Total,Total,Total,Kyogle,Total,239,305,368,312,34,-11.74%,-13.00%,-12.82%,-15.00%
2019,Q4,Total,Total,Total,Kyogle,Non Strata,230,304,370,310,33,-11.88%,-13.14%,-15.38%,-17.50%
2019,Q4,Total,Total,Total,Kyogle,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Lachlan,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Lachlan,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Lake Macquarie,Total,485,584,715,610,790,4.20%,0.60%,5.19%,7.05%
2019,Q4,Total,Total,Total,Lake Macquarie,Non Strata,510,600,727,630,682,3.45%,1.69%,5.41%,5.25%
2019,Q4,Total,Total,Total,Lake Macquarie,Strata,409,450,540,481,108,-0.33%,-1.64%,3.85%,20.00%
2019,Q4,Total,Total,Total,Lane Cove,Total,821,"1,283","2,057","1,606",218,35.00%,45.74%,6.34%,23.16%
2019,Q4,Total,Total,Total,Lane Cove,Non Strata,"2,094","2,478","2,903","2,731",72,-4.71%,-6.51%,53.19%,30.91%
2019,Q4,Total,Total,Total,Lane Cove,Strata,755,920,"1,284","1,051",146,15.18%,23.08%,-7.59%,19.67%
2019,Q4,Total,Total,Total,Leeton,Total,176,250,330,247,37,15.21%,14.16%,-11.90%,-38.33%
2019,Q4,Total,Total,Total,Leeton,Non Strata,178,250,333,249,36,1.01%,12.11%,0.00%,-33.33%
2019,Q4,Total,Total,Total,Leeton,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Lismore,Total,340,411,560,466,174,3.07%,0.30%,13.73%,-5.43%
2019,Q4,Total,Total,Total,Lismore,Non Strata,352,440,579,484,156,3.53%,6.02%,19.08%,-3.11%
2019,Q4,Total,Total,Total,Lismore,Strata,261,315,353,313,s,6.51%,-1.87%,-18.18%,-21.74%
2019,Q4,Total,Total,Total,Lithgow,Total,297,361,489,431,70,7.84%,7.84%,2.94%,-14.63%
2019,Q4,Total,Total,Total,Lithgow,Non Strata,297,361,489,431,70,7.84%,11.15%,2.94%,-9.09%
2019,Q4,Total,Total,Total,Liverpool,Total,560,710,857,779,580,6.77%,1.80%,12.19%,41.46%
2019,Q4,Total,Total,Total,Liverpool,Non Strata,697,800,916,899,408,5.26%,6.67%,15.91%,36.00%
2019,Q4,Total,Total,Total,Liverpool,Strata,414,480,581,495,172,-2.04%,-4.29%,4.24%,56.36%
2019,Q4,Total,Total,Total,Liverpool Plains,Total,150,210,255,227,s,0.00%,-10.64%,8.70%,47.06%
2019,Q4,Total,Total,Total,Liverpool Plains,Non Strata,150,210,255,227,s,0.00%,-10.64%,8.70%,47.06%
2019,Q4,Total,Total,Total,Lockhart,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Lockhart,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Maitland,Total,404,480,596,508,380,3.23%,4.35%,5.56%,5.85%
2019,Q4,Total,Total,Total,Maitland,Non Strata,425,495,615,524,341,3.13%,3.13%,5.90%,5.25%
2019,Q4,Total,Total,Total,Maitland,Strata,333,380,410,369,39,11.76%,10.14%,2.63%,11.43%
2019,Q4,Total,Total,Total,Mid-Coast,Total,335,425,579,462,485,-3.41%,3.66%,-2.22%,6.59%
2019,Q4,Total,Total,Total,Mid-Coast,Non Strata,345,450,601,479,400,-2.17%,7.14%,0.50%,10.19%
2019,Q4,Total,Total,Total,Mid-Coast,Strata,315,365,435,381,85,1.81%,2.10%,-13.27%,-7.61%
2019,Q4,Total,Total,Total,Mid-Western Regional,Total,329,420,515,418,113,5.00%,12.30%,-9.60%,-24.67%
2019,Q4,Total,Total,Total,Mid-Western Regional,Non Strata,342,422,525,422,109,2.53%,10.50%,-9.17%,-23.24%
2019,Q4,Total,Total,Total,Mid-Western Regional,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Moree Plains,Total,104,190,315,203,s,26.67%,-36.67%,-20.59%,-18.18%
2019,Q4,Total,Total,Total,Moree Plains,Non Strata,104,190,315,203,s,26.67%,-36.67%,-20.59%,-18.18%
2019,Q4,Total,Total,Total,Mosman,Total,"1,100","2,375","3,400","2,631",157,86.27%,51.27%,25.60%,13.77%
2019,Q4,Total,Total,Total,Mosman,Non Strata,"3,060","3,900","5,088","4,287",67,17.43%,4.00%,67.50%,36.70%
2019,Q4,Total,Total,Total,Mosman,Strata,900,"1,158","1,624","1,398",90,21.84%,26.50%,5.88%,1.12%
2019,Q4,Total,Total,Total,Murray River,Total,269,351,446,372,38,-2.64%,26.08%,-30.91%,-41.54%
2019,Q4,Total,Total,Total,Murray River,Non Strata,271,365,450,380,36,-8.18%,13.18%,-25.00%,-30.77%
2019,Q4,Total,Total,Total,Murray River,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Murrumbidgee,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Murrumbidgee,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Muswellbrook,Total,255,310,385,328,73,3.33%,0.00%,21.67%,8.96%
2019,Q4,Total,Total,Total,Muswellbrook,Non Strata,254,310,385,329,72,2.48%,0.00%,24.14%,18.03%
2019,Q4,Total,Total,Total,Muswellbrook,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Nambucca,Total,370,450,550,467,70,7.14%,15.38%,-10.26%,-29.29%
2019,Q4,Total,Total,Total,Nambucca,Non Strata,378,465,559,482,63,4.49%,15.53%,-8.70%,-31.52%
2019,Q4,Total,Total,Total,Nambucca,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Narrabri,Total,231,325,370,292,s,4.67%,32.70%,-41.20%,-48.70%
2019,Q4,Total,Total,Total,Narrabri,Non Strata,235,330,370,301,s,6.28%,34.69%,-44.12%,-51.28%
2019,Q4,Total,Total,Total,Narrabri,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Narrandera,Total,111,150,210,174,s,-19.79%,-23.08%,-24.00%,-44.12%
2019,Q4,Total,Total,Total,Narrandera,Non Strata,111,150,210,174,s,-19.79%,-23.08%,-24.00%,-44.12%
2019,Q4,Total,Total,Total,Narromine,Total,215,250,530,344,s,8.07%,3.09%,257.14%,4.17%
2019,Q4,Total,Total,Total,Narromine,Non Strata,215,250,530,344,s,8.07%,3.09%,257.14%,4.17%
2019,Q4,Total,Total,Total,Newcastle,Total,491,590,740,646,746,2.61%,0.00%,6.42%,2.90%
2019,Q4,Total,Total,Total,Newcastle,Non Strata,520,620,753,674,541,4.20%,0.00%,8.20%,1.31%
2019,Q4,Total,Total,Total,Newcastle,Strata,430,525,675,573,205,6.06%,8.25%,1.99%,7.33%
2019,Q4,Total,Total,Total,North Sydney,Total,872,"1,120","1,820","1,494",397,1.82%,-11.67%,3.39%,13.11%
2019,Q4,Total,Total,Total,North Sydney,Non Strata,"2,000","2,536","3,755","2,972",76,0.63%,1.81%,38.18%,22.58%
2019,Q4,Total,Total,Total,North Sydney,Strata,820,"1,030","1,400","1,144",321,5.10%,-6.79%,-2.43%,11.07%
2019,Q4,Total,Total,Total,Northern Beaches,Total,"1,005","1,525","2,010","1,620",1153,8.54%,12.13%,20.48%,24.92%
2019,Q4,Total,Total,Total,Northern Beaches,Non Strata,"1,585","1,880","2,385","2,077",601,8.17%,10.59%,18.54%,18.54%
2019,Q4,Total,Total,Total,Northern Beaches,Strata,775,985,"1,363","1,123",552,8.54%,11.93%,22.67%,32.69%
2019,Q4,Total,Total,Total,Oberon,Total,290,338,415,393,s,-14.43%,-17.06%,4.55%,15.00%
2019,Q4,Total,Total,Total,Oberon,Non Strata,290,338,415,393,s,-14.43%,-17.06%,4.55%,15.00%
2019,Q4,Total,Total,Total,Orange,Total,350,419,500,435,225,1.58%,0.36%,10.29%,11.39%
2019,Q4,Total,Total,Total,Orange,Non Strata,374,426,514,453,202,1.55%,-1.05%,12.85%,8.60%
2019,Q4,Total,Total,Total,Orange,Strata,243,277,303,278,s,1.09%,1.09%,-8.00%,43.75%
2019,Q4,Total,Total,Total,Parkes,Total,230,270,331,286,63,20.00%,5.88%,3.28%,-35.05%
2019,Q4,Total,Total,Total,Parkes,Non Strata,230,270,331,286,63,20.00%,5.88%,3.28%,-30.77%
2019,Q4,Total,Total,Total,Parramatta,Total,650,820,"1,220","1,538",941,10.07%,3.21%,3.07%,43.88%
2019,Q4,Total,Total,Total,Parramatta,Non Strata,"1,049","1,251","1,487","1,297",342,10.71%,11.20%,7.89%,29.06%
