LGA_2016,Local Government Areas - 2016,SEIFAINDEXTYPE,Index Type,SEIFA_MEASURE,Measure,TIME,Time,Value,Flag Codes,Flags
10900,Blue Mountains (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,76904,,
11300,Burwood (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1067,,
11300,Burwood (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,486,,
11300,Burwood (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
11300,Burwood (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,90,,
11300,Burwood (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,111,,
11300,Burwood (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
11300,Burwood (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,85,,
11300,Burwood (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1002,,
11300,Burwood (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1144,,
11300,Burwood (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,36809,,
11450,Camden (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1003,,
11450,Camden (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,422,,
11450,Camden (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
11450,Camden (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,78,,
11450,Camden (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,98,,
11450,Camden (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,8,,
11450,Camden (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,75,,
11450,Camden (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,822,,
11450,Camden (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1250,,
11450,Camden (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,78218,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,SCORE,Score,2016,2016,932,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,165,,
11500,Campbelltown (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,31,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,33,,
11500,Campbelltown ©,IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,26,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,625,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1131,,
11500,Campbelltown (C) ,IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,157006,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1120,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,511,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,94,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,120,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,92,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,986,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1211,,
11520,Canada Bay (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,88015,,
11720,Cessnock (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,879,,
11720,Cessnock (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,37,,
11720,Cessnock (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,1,,
11720,Cessnock (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,7,,
11720,Cessnock (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,2,,
11720,Cessnock (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
11720,Cessnock (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,2,,
11720,Cessnock (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,663,,
11720,Cessnock (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1158,,
11720,Cessnock (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,55560,,
12850,Fairfield (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,882,,
12850,Fairfield (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,41,,
12850,Fairfield (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,1,,
12850,Fairfield (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,8,,
12850,Fairfield (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,3,,
12850,Fairfield (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
12850,Fairfield (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,3,,
12850,Fairfield (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,713,,
12850,Fairfield (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1040,,
12850,Fairfield (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,198817,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,979,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,362,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,67,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,87,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,7,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,67,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,821,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1131,,
13800,Hawkesbury (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,64592,,
14000,Hornsby (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1115,,
14000,Hornsby (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,509,,
14000,Hornsby (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
14000,Hornsby (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,94,,
14000,Hornsby (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,118,,
14000,Hornsby (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
14000,Hornsby (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,91,,
14000,Hornsby (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,945,,
14000,Hornsby (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1201,,
14000,Hornsby (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,142667,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1157,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,530,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,98,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,123,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,94,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1101,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1201,,
14100,Hunters Hill (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,13999,,
14400,Kiama (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1062,,
14400,Kiama (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,483,,
14400,Kiama (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
14400,Kiama (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,89,,
14400,Kiama (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,109,,
14400,Kiama (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
14400,Kiama (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,84,,
14400,Kiama (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,977,,
14400,Kiama (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1151,,
14400,Kiama (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,21464,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1170,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,535,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,98,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,126,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,97,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1087,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1230,,
14500,Ku-ring-gai (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,118053,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,967,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,315,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,58,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,77,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,59,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,663,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1135,,
14650,Lake Macquarie (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,197371,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1171,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,536,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,99,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,127,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,97,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1113,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1222,,
14700,Lane Cove (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,36051,,
14900,Liverpool (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,953,,
14900,Liverpool (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,257,,
14900,Liverpool (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,5,,
14900,Liverpool (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,48,,
14900,Liverpool (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,61,,
14900,Liverpool (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
14900,Liverpool (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,47,,
14900,Liverpool (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,599,,
14900,Liverpool (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1123,,
14900,Liverpool (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,204326,,
15050,Maitland (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,941,,
15050,Maitland (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,205,,
15050,Maitland (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
15050,Maitland (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,38,,
15050,Maitland (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,45,,
15050,Maitland (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
15050,Maitland (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,35,,
15050,Maitland (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,682,,
15050,Maitland (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1130,,
15050,Maitland (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,77305,,
15350,Mosman (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1188,,
15350,Mosman (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,542,,
15350,Mosman (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
15350,Mosman (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,100,,
15350,Mosman (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,128,,
15350,Mosman (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
15350,Mosman (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,98,,
15350,Mosman (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1148,,
15350,Mosman (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1226,,
15350,Mosman (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,28475,,
15900,Newcastle (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1018,,
15900,Newcastle (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,443,,
15900,Newcastle (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
15900,Newcastle (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,82,,
15900,Newcastle (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,100,,
15900,Newcastle (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,8,,
15900,Newcastle (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,77,,
15900,Newcastle (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,583,,
15900,Newcastle (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1197,,
15900,Newcastle (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,155411,,
15950,North Sydney (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1195,,
15950,North Sydney (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,545,,
15950,North Sydney (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
15950,North Sydney (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,100,,
15950,North Sydney (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,130,,
15950,North Sydney (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
15950,North Sydney (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,100,,
15950,North Sydney (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1120,,
15950,North Sydney (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1253,,
15950,North Sydney (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,67658,,
16260,Parramatta (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1080,,
16260,Parramatta (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,494,,
16260,Parramatta (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
16260,Parramatta (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,91,,
16260,Parramatta (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,113,,
16260,Parramatta (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
16260,Parramatta (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,87,,
16260,Parramatta (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,844,,
16260,Parramatta (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1203,,
16260,Parramatta (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,226149,,
16350,Penrith (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,948,,
16350,Penrith (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,239,,
16350,Penrith (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,5,,
16350,Penrith (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,44,,
16350,Penrith (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,54,,
16350,Penrith (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
16350,Penrith (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,42,,
16350,Penrith (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,746,,
16350,Penrith (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1094,,
16350,Penrith (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,196066,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,939,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,195,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,36,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,41,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,32,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,740,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1092,,
16400,Port Stephens (A),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,69556,,
16550,Randwick (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1119,,
16550,Randwick (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,510,,
16550,Randwick (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
16550,Randwick (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,94,,
16550,Randwick (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,119,,
16550,Randwick (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
16550,Randwick (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,91,,
16550,Randwick (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,757,,
16550,Randwick (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1215,,
16550,Randwick (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,140660,,
16700,Ryde (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1107,,
16700,Ryde (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,505,,
16700,Ryde (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
16700,Ryde (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,93,,
16700,Ryde (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,116,,
16700,Ryde (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
16700,Ryde (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,89,,
16700,Ryde (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,887,,
16700,Ryde (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1218,,
16700,Ryde (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,116302,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,927,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,136,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,3,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,25,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,24,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,19,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,712,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1275,,
16900,Shellharbour (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,68460,,
17100,Strathfield (A),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1082,,
17100,Strathfield (A),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,496,,
17100,Strathfield (A),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
17100,Strathfield (A),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,91,,
17100,Strathfield (A),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,114,,
